track_id,clean timestamp,time of the day,Day of Week,IsWeekend,genre,energy,valence,Emotion Label,Date,Year,Month,Month Name,Week of Year,Day Name,Hour
4hIj1YNfEdcYnYawKK0eYd,7/6/2025 18:05,Evening,0,Weekday,MELODIC HOUSE,0.656,0.0389,Dark/Intense,"Sunday, July 6, 2025",2025,7,July,28,Sunday,18
1yiLmcHovufRMfOgxqSsfI,7/6/2025 18:09,Evening,0,Weekday,MELODIC HOUSE,0.66,0.226,Dark/Intense,"Sunday, July 6, 2025",2025,7,July,28,Sunday,18
7n8sDrEcuMt0yezLDhIbnN,7/6/2025 18:12,Evening,0,Weekday,MELODIC HOUSE,0.851,0.0392,Dark/Intense,"Sunday, July 6, 2025",2025,7,July,28,Sunday,18
05GvwwTLLID738BbKN1ze0,7/6/2025 18:16,Evening,0,Weekday,MELODIC HOUSE,0.435,0.166,Dark/Intense,"Sunday, July 6, 2025",2025,7,July,28,Sunday,18
22QG2saDLvgToHzeOZPm20,7/6/2025 18:20,Evening,0,Weekday,MELODIC HOUSE,0.542,0.163,Dark/Intense,"Sunday, July 6, 2025",2025,7,July,28,Sunday,18
6gOR8xTSQWEMfEJa7r52k7,7/6/2025 18:21,Evening,0,Weekday,MELODIC HOUSE,0.7,0.0987,Dark/Intense,"Sunday, July 6, 2025",2025,7,July,28,Sunday,18
1Rd0kA3ditVAlVAb5Hdb1p,7/6/2025 18:34,Evening,0,Weekday,MELODIC HOUSE,0.646,0.0486,Dark/Intense,"Sunday, July 6, 2025",2025,7,July,28,Sunday,18
2wLkOJ9pwMu0kfV5tlPDUp,7/6/2025 18:37,Evening,0,Weekday,MELODIC HOUSE,0.687,0.0878,Dark/Intense,"Sunday, July 6, 2025",2025,7,July,28,Sunday,18
71RUnMMD5MX4ew96dMDCl4,7/7/2025 8:27,Morning,1,Weekday,MELODIC HOUSE,0.612,0.3,Dark/Intense,"Monday, July 7, 2025",2025,7,July,28,Monday,8
4hIj1YNfEdcYnYawKK0eYd,7/7/2025 8:28,Morning,1,Weekday,MELODIC HOUSE,0.656,0.0389,Dark/Intense,"Monday, July 7, 2025",2025,7,July,28,Monday,8
